start,open,high,low,close,volume
2026-08-23 10:38:00+00:00,0.6589,0.6601,0.6589,0.6595,34083
2026-08-23 10:39:00+00:00,0.6595,0.6595,0.6584,0.6585,8795
2026-08-23 10:40:00+00:00,0.6585,0.6596,0.6585,0.6593,4971
2026-08-23 10:41:00+00:00,0.6593,0.6608,0.6593,0.6596,8674
2026-08-23 10:42:00+00:00,0.6596,0.6607,0.6596,0.6607,30056
2026-08-23 10:43:00+00:00,0.6607,0.6626,0.6607,0.6626,25874
2026-08-23 10:44:00+00:00,0.6626,0.6626,0.6618,0.6618,1950
2026-08-23 10:45:00+00:00,0.6618,0.6618,0.66,0.6604,12577
2026-08-23 10:46:00+00:00,0.6604,0.6611,0.6603,0.6609,5329
2026-08-23 10:47:00+00:00,0.6609,0.6609,0.6607,0.6608,1101
2026-08-23 10:48:00+00:00,0.6608,0.661,0.6606,0.6606,15986
2026-08-23 10:49:00+00:00,0.6606,0.6606,0.6605,0.6605,31
2026-08-23 10:50:00+00:00,0.6605,0.6615,0.6605,0.6614,1898
2026-08-23 10:51:00+00:00,0.6614,0.6614,0.6609,0.6609,545
2026-08-23 10:52:00+00:00,0.6609,0.6616,0.6609,0.6616,7299
2026-08-23 10:53:00+00:00,0.6616,0.6621,0.6616,0.6616,5757
2026-08-23 10:54:00+00:00,0.6616,0.6624,0.6616,0.6624,18424
2026-08-23 10:55:00+00:00,0.6624,0.6624,0.6616,0.662,2648
2026-08-23 10:56:00+00:00,0.662,0.6621,0.6615,0.6619,43215
2026-08-23 10:57:00+00:00,0.6619,0.6619,0.6615,0.6615,8206
2026-08-23 10:58:00+00:00,0.6615,0.6616,0.6605,0.6616,72825
2026-08-23 10:59:00+00:00,0.6616,0.6623,0.6615,0.6623,10275
2026-08-23 11:00:00+00:00,0.6623,0.6623,0.662,0.6622,551
2026-08-23 11:01:00+00:00,0.6622,0.6622,0.6614,0.6614,9021
2026-08-23 11:02:00+00:00,0.6614,0.6615,0.6608,0.6608,1058
2026-08-23 11:03:00+00:00,0.6608,0.661,0.6608,0.6608,3220
2026-08-23 11:04:00+00:00,0.6608,0.6609,0.6605,0.6609,854
2026-08-23 11:05:00+00:00,0.6609,0.6614,0.6609,0.6614,7866
2026-08-23 11:06:00+00:00,0.6614,0.6617,0.6613,0.6616,750
2026-08-23 11:07:00+00:00,0.6616,0.662,0.6616,0.662,761
2026-08-23 11:08:00+00:00,0.662,0.6626,0.6613,0.662,21282
2026-08-23 11:09:00+00:00,0.662,0.6642,0.662,0.6642,15762
2026-08-23 11:10:00+00:00,0.6642,0.6642,0.6633,0.6639,4701
2026-08-23 11:11:00+00:00,0.6639,0.6648,0.6634,0.6648,7289
2026-08-23 11:12:00+00:00,0.6648,0.6656,0.6646,0.6646,8090
2026-08-23 11:13:00+00:00,0.6646,0.665,0.6644,0.6649,27811
2026-08-23 11:14:00+00:00,0.6649,0.6649,0.6644,0.6645,2460
2026-08-23 11:15:00+00:00,0.6645,0.6647,0.6643,0.6643,1273
2026-08-23 11:16:00+00:00,0.6643,0.6652,0.6642,0.6652,10234
2026-08-23 11:17:00+00:00,0.6652,0.6652,0.6643,0.6644,6996
2026-08-23 11:18:00+00:00,0.6644,0.6646,0.6643,0.6644,2291
2026-08-23 11:19:00+00:00,0.6644,0.6671,0.6642,0.6667,16699
