start,open,high,low,close,volume
2026-08-15 06:00:00+00:00,0.7711,0.773,0.7697,0.7716,271612.0
2026-08-15 07:00:00+00:00,0.7716,0.7721,0.7694,0.7697,306832.6
2026-08-15 08:00:00+00:00,0.7697,0.7712,0.7694,0.7698,210215.3
2026-08-15 09:00:00+00:00,0.7698,0.779,0.7686,0.778,707982.2
2026-08-15 10:00:00+00:00,0.778,0.7838,0.7764,0.7832,622642.4
2026-08-15 11:00:00+00:00,0.7832,0.7839,0.7747,0.7755,409899.6
2026-08-15 12:00:00+00:00,0.7755,0.7777,0.7726,0.7741,430656.9
2026-08-15 13:00:00+00:00,0.7741,0.7781,0.7733,0.7778,186484.3
2026-08-15 14:00:00+00:00,0.7778,0.78,0.7766,0.7796,275023.7
2026-08-15 15:00:00+00:00,0.7796,0.7796,0.7746,0.7754,193354.9
2026-08-15 16:00:00+00:00,0.7754,0.7766,0.7717,0.7721,182081.5
2026-08-15 17:00:00+00:00,0.7721,0.7745,0.7717,0.7739,81899.0
2026-08-15 18:00:00+00:00,0.7739,0.7739,0.7675,0.7699,511020.0
2026-08-15 19:00:00+00:00,0.7699,0.7699,0.7672,0.7685,191276.6
2026-08-15 20:00:00+00:00,0.7685,0.7685,0.7648,0.7651,471715.5
2026-08-15 21:00:00+00:00,0.7651,0.7676,0.7644,0.7669,130703.9
2026-08-15 22:00:00+00:00,0.7669,0.7681,0.7654,0.766,262779.6
2026-08-15 23:00:00+00:00,0.766,0.7666,0.7581,0.7607,789909.4
2026-08-16 00:00:00+00:00,0.7607,0.7619,0.7588,0.7589,379835.0
2026-08-16 01:00:00+00:00,0.7589,0.7598,0.7555,0.7568,408523.0
2026-08-16 02:00:00+00:00,0.7568,0.7599,0.7555,0.7593,171585.5
2026-08-16 03:00:00+00:00,0.7593,0.7593,0.7575,0.7582,143120.6
2026-08-16 04:00:00+00:00,0.7582,0.7582,0.7565,0.7577,176307.7
2026-08-16 05:00:00+00:00,0.7577,0.7581,0.756,0.7574,137646.3
2026-08-16 06:00:00+00:00,0.7574,0.7601,0.7552,0.7592,524847.4
2026-08-16 07:00:00+00:00,0.7592,0.7606,0.7591,0.7602,261160.1
2026-08-16 08:00:00+00:00,0.7602,0.7606,0.7586,0.7605,265761.3
2026-08-16 09:00:00+00:00,0.7605,0.7623,0.7583,0.759,244405.6
2026-08-16 10:00:00+00:00,0.759,0.7596,0.7575,0.7576,97043.7
2026-08-16 11:00:00+00:00,0.7576,0.7629,0.7573,0.7614,230106.8
2026-08-16 12:00:00+00:00,0.7614,0.7637,0.7604,0.7633,90927.9
2026-08-16 13:00:00+00:00,0.7633,0.7638,0.761,0.7622,147108.8
2026-08-16 14:00:00+00:00,0.7622,0.7639,0.761,0.7627,247633.1
2026-08-16 15:00:00+00:00,0.7627,0.7674,0.762,0.7668,239063.3
2026-08-16 16:00:00+00:00,0.7668,0.7683,0.7641,0.7648,401407.3
2026-08-16 17:00:00+00:00,0.7648,0.7662,0.7618,0.7622,187476.2
2026-08-16 18:00:00+00:00,0.7622,0.7628,0.7607,0.7614,249708.2
2026-08-16 19:00:00+00:00,0.7614,0.7649,0.7614,0.7636,399627.3
2026-08-16 20:00:00+00:00,0.7636,0.7649,0.7621,0.763,131285.6
2026-08-16 21:00:00+00:00,0.763,0.763,0.7524,0.7554,1380526.7
2026-08-16 22:00:00+00:00,0.7554,0.7573,0.7535,0.7557,368370.5
2026-08-16 23:00:00+00:00,0.7557,0.7589,0.7551,0.7581,235448.1
2026-08-17 00:00:00+00:00,0.7581,0.763,0.7563,0.762,416495.6
2026-08-17 01:00:00+00:00,0.762,0.7662,0.7611,0.7633,462898.1
2026-08-17 02:00:00+00:00,0.7633,0.7664,0.7616,0.7651,342714.5
2026-08-17 03:00:00+00:00,0.7651,0.7661,0.7629,0.7647,282531.3
2026-08-17 04:00:00+00:00,0.7647,0.7689,0.7646,0.7684,323468.3
2026-08-17 05:00:00+00:00,0.7684,0.7688,0.7653,0.7655,305298.4
2026-08-17 06:00:00+00:00,0.7655,0.7662,0.7626,0.7651,295584.0
2026-08-17 07:00:00+00:00,0.7651,0.7655,0.7591,0.7606,273487.1
2026-08-17 08:00:00+00:00,0.7606,0.7613,0.7568,0.7575,404384.1
2026-08-17 09:00:00+00:00,0.7575,0.7591,0.7573,0.7584,144011.3
2026-08-17 10:00:00+00:00,0.7584,0.761,0.7564,0.7592,191202.8
2026-08-17 11:00:00+00:00,0.7592,0.7613,0.7582,0.7585,132116.5
