start,open,high,low,close,volume
2026-08-15 06:00:00+00:00,56.24,56.34,56.1,56.26,21657.56
2026-08-15 07:00:00+00:00,56.26,56.48,56.12,56.46,21253.96
2026-08-15 08:00:00+00:00,56.46,56.49,56.01,56.07,30260.76
2026-08-15 09:00:00+00:00,56.07,56.2,55.97,56.02,43379.03
2026-08-15 10:00:00+00:00,56.02,56.05,55.87,55.99,20287.73
2026-08-15 11:00:00+00:00,55.99,56.08,55.87,56.04,30394.87
2026-08-15 12:00:00+00:00,56.04,56.3,55.9,56.28,59170.36
2026-08-15 13:00:00+00:00,56.28,56.64,56.24,56.39,68371.37
2026-08-15 14:00:00+00:00,56.39,56.52,56.26,56.3,54241.53
2026-08-15 15:00:00+00:00,56.3,56.84,56.29,56.8,69919.73
2026-08-15 16:00:00+00:00,56.8,57.21,56.62,57.18,122182.67
2026-08-15 17:00:00+00:00,57.18,57.22,56.88,57.03,75822.52
2026-08-15 18:00:00+00:00,57.03,57.18,56.88,57.04,40255.67
2026-08-15 19:00:00+00:00,57.04,57.36,56.94,57.3,58953.58
2026-08-15 20:00:00+00:00,57.3,57.3,56.99,57.04,34697.89
2026-08-15 21:00:00+00:00,57.04,57.12,56.95,57.0,34789.38
2026-08-15 22:00:00+00:00,57.0,57.09,56.89,56.92,19283.63
2026-08-15 23:00:00+00:00,56.92,57.01,56.74,56.9,50557.27
2026-08-16 00:00:00+00:00,56.9,56.96,56.73,56.79,39694.11
2026-08-16 01:00:00+00:00,56.79,57.13,56.76,57.08,32940.67
2026-08-16 02:00:00+00:00,57.08,57.29,56.87,57.17,70792.46
2026-08-16 03:00:00+00:00,57.17,57.19,56.91,56.93,29067.65
2026-08-16 04:00:00+00:00,56.93,57.21,56.89,57.08,48343.67
2026-08-16 05:00:00+00:00,57.08,57.2,56.84,56.86,35839.96
2026-08-16 06:00:00+00:00,56.86,57.16,56.76,57.05,39607.19
2026-08-16 07:00:00+00:00,57.05,57.49,57.04,57.45,83513.99
2026-08-16 08:00:00+00:00,57.45,57.53,57.3,57.53,58716.11
2026-08-16 09:00:00+00:00,57.53,57.61,57.29,57.45,54546.36
2026-08-16 10:00:00+00:00,57.45,57.49,57.25,57.35,48379.52
2026-08-16 11:00:00+00:00,57.35,57.5,57.31,57.37,22954.04
2026-08-16 12:00:00+00:00,57.37,57.38,57.17,57.21,35748.5
2026-08-16 13:00:00+00:00,57.21,57.26,57.1,57.22,33055.25
2026-08-16 14:00:00+00:00,57.22,57.31,57.05,57.23,44067.66
2026-08-16 15:00:00+00:00,57.23,57.51,57.14,57.42,48162.06
2026-08-16 16:00:00+00:00,57.42,57.97,57.42,57.8,155614.75
2026-08-16 17:00:00+00:00,57.8,58.04,57.65,57.74,80530.02
2026-08-16 18:00:00+00:00,57.74,57.74,57.38,57.63,71496.22
2026-08-16 19:00:00+00:00,57.63,57.93,57.62,57.69,53216.81
2026-08-16 20:00:00+00:00,57.69,57.8,57.51,57.59,34838.85
2026-08-16 21:00:00+00:00,57.59,57.61,57.2,57.34,63279.79
2026-08-16 22:00:00+00:00,57.34,57.34,57.14,57.25,52489.69
2026-08-16 23:00:00+00:00,57.25,57.31,57.07,57.13,38680.17
2026-08-17 00:00:00+00:00,57.13,57.36,57.05,57.33,50407.56
2026-08-17 01:00:00+00:00,57.33,58.44,57.32,58.37,211025.19
2026-08-17 02:00:00+00:00,58.37,58.96,58.2,58.92,213734.13
2026-08-17 03:00:00+00:00,58.92,59.18,58.72,59.13,124281.64
2026-08-17 04:00:00+00:00,59.13,59.17,58.82,58.86,81182.22
2026-08-17 05:00:00+00:00,58.86,59.04,58.66,58.66,102080.88
2026-08-17 06:00:00+00:00,58.66,59.4,58.66,59.29,167233.09
2026-08-17 07:00:00+00:00,59.29,59.66,59.17,59.54,183061.86
2026-08-17 08:00:00+00:00,59.54,59.57,59.03,59.09,221810.73
2026-08-17 09:00:00+00:00,59.09,59.34,59.08,59.31,52270.71
2026-08-17 10:00:00+00:00,59.31,59.84,59.17,59.8,138713.95
2026-08-17 11:00:00+00:00,59.8,59.9,59.43,59.5,124421.78
2026-08-17 12:00:00+00:00,59.5,59.5,59.03,59.16,93004.82
2026-08-17 13:00:00+00:00,59.16,59.43,58.8,59.29,160656.37
2026-08-17 14:00:00+00:00,59.29,59.53,58.89,59.53,94336.44
2026-08-17 15:00:00+00:00,59.53,59.6,59.12,59.3,92438.85
2026-08-17 16:00:00+00:00,59.3,59.31,59.02,59.18,54769.35
2026-08-17 17:00:00+00:00,59.18,59.2,58.72,58.97,81150.76
2026-08-17 18:00:00+00:00,58.97,59.28,58.95,59.05,69244.73
2026-08-17 19:00:00+00:00,59.05,59.1,58.79,58.97,48716.29
2026-08-17 20:00:00+00:00,58.97,58.97,58.41,58.72,117272.14
2026-08-17 21:00:00+00:00,58.72,59.02,58.68,58.96,60470.57
2026-08-17 22:00:00+00:00,58.96,59.18,58.87,59.04,54086.19
2026-08-17 23:00:00+00:00,59.04,59.49,59.04,59.43,72239.25
2026-08-18 00:00:00+00:00,59.43,59.68,59.38,59.59,78236.63
