start,open,high,low,close,volume
2026-08-22 21:20:00+00:00,78.65,78.98,78.65,78.76,7215.19
2026-08-22 21:25:00+00:00,78.76,79.05,78.69,78.92,9894.15
2026-08-22 21:30:00+00:00,78.92,79.04,78.47,78.65,14698.28
2026-08-22 21:35:00+00:00,78.65,78.68,78.22,78.38,7814.04
2026-08-22 21:40:00+00:00,78.38,78.48,78.01,78.46,12524.28
2026-08-22 21:45:00+00:00,78.46,78.48,78.02,78.3,15823.75
2026-08-22 21:50:00+00:00,78.3,78.32,78.06,78.18,9151.29
2026-08-22 21:55:00+00:00,78.18,78.27,78.01,78.17,8846.38
2026-08-22 22:00:00+00:00,78.17,78.43,77.81,78.32,25129.52
2026-08-22 22:05:00+00:00,78.32,78.83,78.22,78.76,41635.99
2026-08-22 22:10:00+00:00,78.76,79.16,78.73,79.15,11681.86
2026-08-22 22:15:00+00:00,79.15,79.61,79.15,79.36,35719.57
2026-08-22 22:20:00+00:00,79.36,79.71,79.26,79.35,29682.91
2026-08-22 22:25:00+00:00,79.35,79.68,79.35,79.56,22280.01
2026-08-22 22:30:00+00:00,79.56,79.69,79.28,79.43,19893.46
2026-08-22 22:35:00+00:00,79.43,79.49,79.17,79.24,16832.92
2026-08-22 22:40:00+00:00,79.24,79.36,79.06,79.09,10310.32
2026-08-22 22:45:00+00:00,79.09,79.24,79.03,79.17,6846.28
2026-08-22 22:50:00+00:00,79.17,79.45,79.1,79.37,4454.84
2026-08-22 22:55:00+00:00,79.37,79.43,78.5,78.9,44728.06
2026-08-22 23:00:00+00:00,78.9,78.97,78.73,78.97,14265.28
2026-08-22 23:05:00+00:00,78.97,79.48,78.96,79.15,13771.66
2026-08-22 23:10:00+00:00,79.15,79.31,78.75,78.87,19290.82
2026-08-22 23:15:00+00:00,78.87,78.97,78.78,78.88,5317.37
2026-08-22 23:20:00+00:00,78.88,79.14,78.83,78.88,10210.07
2026-08-22 23:25:00+00:00,78.88,79.14,78.79,78.83,6611.31
2026-08-22 23:30:00+00:00,78.83,78.95,78.36,78.51,21971.14
2026-08-22 23:35:00+00:00,78.51,79.0,78.51,78.94,10243.57
2026-08-22 23:40:00+00:00,78.94,79.34,78.94,79.07,15031.01
2026-08-22 23:45:00+00:00,79.07,79.55,78.96,79.54,13804.26
2026-08-22 23:50:00+00:00,79.54,79.92,79.47,79.9,16607.18
2026-08-22 23:55:00+00:00,79.9,79.94,79.35,79.36,24770.16
2026-08-23 00:00:00+00:00,79.36,79.7,79.33,79.4,24163.38
2026-08-23 00:05:00+00:00,79.4,79.5,79.05,79.27,18866.77
2026-08-23 00:10:00+00:00,79.27,79.45,78.94,79.35,8379.96
2026-08-23 00:15:00+00:00,79.35,80.32,79.33,80.08,51236.67
2026-08-23 00:20:00+00:00,80.08,80.7,79.97,80.67,35725.2
2026-08-23 00:25:00+00:00,80.67,80.69,80.11,80.12,22899.51
2026-08-23 00:30:00+00:00,80.12,80.49,80.11,80.35,17453.92
2026-08-23 00:35:00+00:00,80.35,80.59,80.04,80.32,25378.3
2026-08-23 00:40:00+00:00,80.32,80.66,80.13,80.14,20073.08
2026-08-23 00:45:00+00:00,80.14,80.75,80.14,80.7,10929.6
2026-08-23 00:50:00+00:00,80.7,81.1,80.52,80.6,42953.32
2026-08-23 00:55:00+00:00,80.6,80.68,80.38,80.51,16746.67
2026-08-23 01:00:00+00:00,80.51,80.64,80.35,80.4,11861.38
2026-08-23 01:05:00+00:00,80.4,80.53,80.05,80.51,10476.03
2026-08-23 01:10:00+00:00,80.51,80.75,80.42,80.67,6706.41
2026-08-23 01:15:00+00:00,80.67,80.96,80.47,80.82,22159.95
2026-08-23 01:20:00+00:00,80.82,80.88,80.52,80.63,15650.59
2026-08-23 01:25:00+00:00,80.63,81.0,80.61,80.79,9079.64
2026-08-23 01:30:00+00:00,80.79,81.09,80.49,80.8,14474.12
2026-08-23 01:35:00+00:00,80.8,80.87,80.33,80.57,28241.81
2026-08-23 01:40:00+00:00,80.57,80.66,80.17,80.39,27915.32
2026-08-23 01:45:00+00:00,80.39,80.59,80.37,80.55,8705.75
2026-08-23 01:50:00+00:00,80.55,80.67,79.78,79.85,32742.87
2026-08-23 01:55:00+00:00,79.85,80.15,79.61,80.11,25191.63
2026-08-23 02:00:00+00:00,80.11,80.19,79.79,79.85,22899.32
2026-08-23 02:05:00+00:00,79.85,79.87,79.67,79.68,10474.98
2026-08-23 02:10:00+00:00,79.68,79.85,79.36,79.42,17809.25
2026-08-23 02:15:00+00:00,79.42,79.76,79.31,79.42,19839.21
2026-08-23 02:20:00+00:00,79.42,79.42,78.94,78.99,42706.09
2026-08-23 02:25:00+00:00,78.99,79.05,78.62,78.94,38898.76
2026-08-23 02:30:00+00:00,78.94,79.27,78.85,79.16,22876.94
2026-08-23 02:35:00+00:00,79.16,79.22,78.79,78.8,12914.38
2026-08-23 02:40:00+00:00,78.8,79.0,78.55,78.64,27277.03
2026-08-23 02:45:00+00:00,78.64,78.98,78.54,78.9,15125.93
2026-08-23 02:50:00+00:00,78.9,79.04,78.73,78.86,12205.86
2026-08-23 02:55:00+00:00,78.86,78.93,78.71,78.83,4488.03
2026-08-23 03:00:00+00:00,78.83,78.97,78.56,78.67,10836.58
2026-08-23 03:05:00+00:00,78.67,78.69,78.37,78.43,8697.3
2026-08-23 03:10:00+00:00,78.43,78.84,78.37,78.75,4976.94
2026-08-23 03:15:00+00:00,78.75,78.83,78.21,78.37,33463.02
2026-08-23 03:20:00+00:00,78.37,78.38,77.65,78.01,45113.22
2026-08-23 03:25:00+00:00,78.01,78.17,77.9,77.93,9294.34
2026-08-23 03:30:00+00:00,77.93,77.94,77.52,77.77,34595.89
2026-08-23 03:35:00+00:00,77.77,77.8,77.6,77.71,11406.98
2026-08-23 03:40:00+00:00,77.71,77.83,77.46,77.57,8808.16
2026-08-23 03:45:00+00:00,77.57,78.03,77.57,78.0,22906.21
2026-08-23 03:50:00+00:00,78.0,78.0,77.83,77.88,5266.34
2026-08-23 03:55:00+00:00,77.88,77.99,77.84,77.94,4766.21
2026-08-23 04:00:00+00:00,77.94,78.12,77.66,77.66,9376.78
2026-08-23 04:05:00+00:00,77.66,77.96,77.48,77.92,13216.38
2026-08-23 04:10:00+00:00,77.92,78.56,77.91,78.5,18890.0
2026-08-23 04:15:00+00:00,78.5,78.53,77.82,77.83,14287.19
2026-08-23 04:20:00+00:00,77.83,78.05,77.75,78.03,24829.47
2026-08-23 04:25:00+00:00,78.03,78.36,78.03,78.23,16495.61
2026-08-23 04:30:00+00:00,78.23,78.23,77.59,77.65,26473.23
2026-08-23 04:35:00+00:00,77.65,77.75,77.33,77.72,18721.54
2026-08-23 04:40:00+00:00,77.72,77.82,77.35,77.37,7218.12
2026-08-23 04:45:00+00:00,77.37,77.55,76.96,77.02,30056.78
2026-08-23 04:50:00+00:00,77.02,77.46,77.01,77.36,13812.37
2026-08-23 04:55:00+00:00,77.36,77.71,77.32,77.43,23816.09
2026-08-23 05:00:00+00:00,77.43,77.76,77.37,77.59,12191.11
2026-08-23 05:05:00+00:00,77.59,77.74,77.32,77.54,8774.63
2026-08-23 05:10:00+00:00,77.54,77.92,77.43,77.44,13450.64
2026-08-23 05:15:00+00:00,77.44,78.31,77.31,78.2,36134.08
2026-08-23 05:20:00+00:00,78.2,78.76,77.92,78.7,29130.53
2026-08-23 05:25:00+00:00,78.7,78.81,78.34,78.39,22526.57
2026-08-23 05:30:00+00:00,78.39,78.62,78.29,78.34,12780.89
2026-08-23 05:35:00+00:00,78.34,78.49,78.11,78.17,11911.49
2026-08-23 05:40:00+00:00,78.17,78.43,78.09,78.24,5889.1
2026-08-23 05:45:00+00:00,78.24,78.49,78.23,78.34,5154.99
2026-08-23 05:50:00+00:00,78.34,78.41,77.96,78.07,6734.69
2026-08-23 05:55:00+00:00,78.07,78.11,77.76,77.76,11564.47
2026-08-23 06:00:00+00:00,77.76,77.84,77.49,77.64,20219.15
2026-08-23 06:05:00+00:00,77.64,77.73,77.34,77.37,5442.66
2026-08-23 06:10:00+00:00,77.37,77.95,77.28,77.86,28668.39
2026-08-23 06:15:00+00:00,77.86,78.22,77.69,77.86,13630.46
2026-08-23 06:20:00+00:00,77.86,78.11,77.79,77.96,17989.78
2026-08-23 06:25:00+00:00,77.96,78.03,77.83,77.92,9276.22
2026-08-23 06:30:00+00:00,77.92,78.63,77.92,78.57,24698.33
2026-08-23 06:35:00+00:00,78.57,78.69,78.4,78.56,9044.65
2026-08-23 06:40:00+00:00,78.56,78.75,78.41,78.7,11541.7
2026-08-23 06:45:00+00:00,78.7,78.86,78.49,78.52,24042.82
2026-08-23 06:50:00+00:00,78.52,78.71,78.46,78.62,3366.16
2026-08-23 06:55:00+00:00,78.62,78.62,78.16,78.25,12848.41
2026-08-23 07:00:00+00:00,78.25,78.36,78.13,78.2,9165.41
2026-08-23 07:05:00+00:00,78.2,78.55,78.19,78.47,4369.4
2026-08-23 07:10:00+00:00,78.47,78.87,78.45,78.87,8710.57
2026-08-23 07:15:00+00:00,78.87,79.07,78.74,78.97,20994.67
2026-08-23 07:20:00+00:00,78.97,78.98,78.76,78.84,7480.42
2026-08-23 07:25:00+00:00,78.84,78.94,78.59,78.75,12580.73
2026-08-23 07:30:00+00:00,78.75,78.76,78.41,78.42,12388.69
2026-08-23 07:35:00+00:00,78.42,78.77,78.33,78.72,10360.31
2026-08-23 07:40:00+00:00,78.72,78.72,78.37,78.44,10072.86
2026-08-23 07:45:00+00:00,78.44,78.86,78.33,78.86,12028.46
2026-08-23 07:50:00+00:00,78.86,78.98,78.7,78.73,11813.77
2026-08-23 07:55:00+00:00,78.73,78.8,78.57,78.76,8309.36
2026-08-23 08:00:00+00:00,78.76,79.07,78.61,78.96,12618.63
2026-08-23 08:05:00+00:00,78.96,79.39,78.94,79.23,30561.19
2026-08-23 08:10:00+00:00,79.23,79.29,78.98,79.08,28780.04
2026-08-23 08:15:00+00:00,79.08,79.26,79.07,79.1,18014.01
2026-08-23 08:20:00+00:00,79.1,79.14,79.0,79.07,5643.91
2026-08-23 08:25:00+00:00,79.07,79.11,78.92,78.97,7670.51
2026-08-23 08:30:00+00:00,78.97,79.16,78.97,79.08,5268.39
2026-08-23 08:35:00+00:00,79.08,79.41,79.06,79.37,16399.37
2026-08-23 08:40:00+00:00,79.37,79.43,79.28,79.37,8333.56
2026-08-23 08:45:00+00:00,79.37,79.46,79.2,79.23,14965.91
2026-08-23 08:50:00+00:00,79.23,79.34,79.13,79.27,10566.08
2026-08-23 08:55:00+00:00,79.27,79.29,79.1,79.21,4931.33
2026-08-23 09:00:00+00:00,79.21,79.42,79.1,79.35,9416.59
2026-08-23 09:05:00+00:00,79.35,79.44,79.23,79.29,4332.59
2026-08-23 09:10:00+00:00,79.29,79.34,79.16,79.2,5509.86
2026-08-23 09:15:00+00:00,79.2,79.33,78.86,79.01,12709.32
2026-08-23 09:20:00+00:00,79.01,79.08,78.85,78.99,3620.41
2026-08-23 09:25:00+00:00,78.99,79.09,78.92,79.0,11014.9
2026-08-23 09:30:00+00:00,79.0,79.0,78.77,78.86,9841.19
2026-08-23 09:35:00+00:00,78.86,79.09,78.76,79.09,4496.11
2026-08-23 09:40:00+00:00,79.09,79.21,79.02,79.06,8134.96
2026-08-23 09:45:00+00:00,79.06,79.16,78.95,79.07,7555.42
2026-08-23 09:50:00+00:00,79.07,79.31,78.97,79.21,11803.77
2026-08-23 09:55:00+00:00,79.21,79.23,78.93,78.95,3963.94
2026-08-23 10:00:00+00:00,78.95,79.19,78.88,79.12,7249.54
2026-08-23 10:05:00+00:00,79.12,79.3,79.08,79.09,11187.88
2026-08-23 10:10:00+00:00,79.09,79.13,78.93,79.11,9847.48
2026-08-23 10:15:00+00:00,79.11,79.18,78.93,78.97,2666.84
2026-08-23 10:20:00+00:00,78.97,79.39,78.97,79.21,13588.81
2026-08-23 10:25:00+00:00,79.21,79.28,79.04,79.1,4050.82
2026-08-23 10:30:00+00:00,79.1,79.34,79.01,79.27,4532.28
2026-08-23 10:35:00+00:00,79.27,79.34,79.2,79.27,9071.22
2026-08-23 10:40:00+00:00,79.27,79.36,79.22,79.27,4908.93
2026-08-23 10:45:00+00:00,79.27,79.55,79.18,79.34,25599.01
2026-08-23 10:50:00+00:00,79.34,79.51,79.19,79.32,19220.13
2026-08-23 10:55:00+00:00,79.32,79.47,79.19,79.44,6391.93
2026-08-23 11:00:00+00:00,79.44,79.51,79.38,79.4,3491.54
2026-08-23 11:05:00+00:00,79.4,79.64,79.39,79.46,12064.52
2026-08-23 11:10:00+00:00,79.46,79.69,79.4,79.53,13264.36
2026-08-23 11:15:00+00:00,79.53,79.65,79.46,79.54,10378.25
2026-08-23 11:20:00+00:00,79.54,80.18,79.54,80.05,34490.03
2026-08-23 11:25:00+00:00,80.05,80.23,79.98,80.13,32050.13
2026-08-23 11:30:00+00:00,80.13,80.46,80.07,80.39,34228.74
2026-08-23 11:35:00+00:00,80.39,80.96,80.35,80.81,48880.74
2026-08-23 11:40:00+00:00,80.81,81.16,80.63,81.13,27757.08
