start,open,high,low,close,volume
2026-08-15 06:00:00+00:00,43.97,44.07,43.96,44.05,8455.3
2026-08-15 07:00:00+00:00,44.05,44.09,43.98,43.99,4789.4
2026-08-15 08:00:00+00:00,43.99,44.01,43.92,43.94,6974.6
2026-08-15 09:00:00+00:00,43.94,44.04,43.92,44.03,7499.4
2026-08-15 10:00:00+00:00,44.03,44.08,44.0,44.04,2586.4
2026-08-15 11:00:00+00:00,44.04,44.07,43.93,44.02,6496.0
2026-08-15 12:00:00+00:00,44.02,44.12,44.01,44.09,9602.1
2026-08-15 13:00:00+00:00,44.09,44.14,44.08,44.13,4389.3
2026-08-15 14:00:00+00:00,44.13,44.17,44.04,44.1,3945.1
2026-08-15 15:00:00+00:00,44.1,44.27,44.07,44.23,6030.0
2026-08-15 16:00:00+00:00,44.23,44.27,44.11,44.12,6307.2
2026-08-15 17:00:00+00:00,44.12,44.22,44.04,44.19,7138.1
2026-08-15 18:00:00+00:00,44.19,44.28,44.12,44.23,5678.5
2026-08-15 19:00:00+00:00,44.23,44.3,44.21,44.22,4129.9
2026-08-15 20:00:00+00:00,44.22,44.23,44.12,44.16,4397.3
2026-08-15 21:00:00+00:00,44.16,44.17,44.04,44.07,4139.1
2026-08-15 22:00:00+00:00,44.07,44.17,44.07,44.12,5419.6
2026-08-15 23:00:00+00:00,44.12,44.12,44.01,44.07,3834.1
2026-08-16 00:00:00+00:00,44.07,44.2,44.05,44.16,9060.3
2026-08-16 01:00:00+00:00,44.16,44.21,44.13,44.2,3036.7
2026-08-16 02:00:00+00:00,44.2,44.27,44.16,44.25,4047.5
2026-08-16 03:00:00+00:00,44.25,44.3,44.21,44.22,3628.0
2026-08-16 04:00:00+00:00,44.22,44.28,44.19,44.22,2054.5
2026-08-16 05:00:00+00:00,44.22,44.26,44.12,44.13,3322.4
2026-08-16 06:00:00+00:00,44.13,44.19,44.11,44.18,4075.2
2026-08-16 07:00:00+00:00,44.18,44.29,44.17,44.29,2750.3
2026-08-16 08:00:00+00:00,44.29,44.39,44.27,44.37,8688.7
2026-08-16 09:00:00+00:00,44.37,44.4,44.33,44.37,5497.8
2026-08-16 10:00:00+00:00,44.37,44.39,44.28,44.34,5401.7
2026-08-16 11:00:00+00:00,44.34,44.39,44.31,44.38,1764.3
2026-08-16 12:00:00+00:00,44.38,44.38,44.23,44.28,4194.6
2026-08-16 13:00:00+00:00,44.28,44.3,44.21,44.27,3267.2
2026-08-16 14:00:00+00:00,44.27,44.34,44.26,44.34,2096.2
2026-08-16 15:00:00+00:00,44.34,44.79,44.33,44.7,22185.8
2026-08-16 16:00:00+00:00,44.7,44.72,44.5,44.53,10538.5
2026-08-16 17:00:00+00:00,44.53,44.55,44.45,44.48,5653.8
2026-08-16 18:00:00+00:00,44.48,44.51,44.43,44.46,2563.2
2026-08-16 19:00:00+00:00,44.46,44.56,44.45,44.53,4868.6
2026-08-16 20:00:00+00:00,44.53,44.56,44.43,44.43,4484.3
2026-08-16 21:00:00+00:00,44.43,44.43,44.01,44.12,20001.1
