start,open,high,low,close,volume
2026-08-22 21:20:00+00:00,52.69,52.81,52.64,52.69,2702.7
2026-08-22 21:25:00+00:00,52.69,52.78,52.67,52.73,1212.5
2026-08-22 21:30:00+00:00,52.73,52.73,52.4,52.46,3799.8
2026-08-22 21:35:00+00:00,52.46,52.49,52.17,52.31,5762.9
2026-08-22 21:40:00+00:00,52.31,52.36,52.07,52.35,4717.4
2026-08-22 21:45:00+00:00,52.35,52.36,52.04,52.16,1625.5
2026-08-22 21:50:00+00:00,52.16,52.17,51.83,52.02,3210.1
2026-08-22 21:55:00+00:00,52.02,52.06,51.88,51.96,3015.2
2026-08-22 22:00:00+00:00,51.96,52.25,51.77,51.98,6761.3
2026-08-22 22:05:00+00:00,51.98,52.39,51.98,52.33,3156.5
2026-08-22 22:10:00+00:00,52.33,52.49,52.32,52.42,1766.7
2026-08-22 22:15:00+00:00,52.42,52.53,52.4,52.43,1623.6
2026-08-22 22:20:00+00:00,52.43,52.58,52.43,52.51,1097.4
2026-08-22 22:25:00+00:00,52.51,52.65,52.51,52.62,636.1
2026-08-22 22:30:00+00:00,52.62,52.64,52.38,52.53,3348.6
2026-08-22 22:35:00+00:00,52.53,52.73,52.48,52.48,2144.6
2026-08-22 22:40:00+00:00,52.48,52.63,52.48,52.53,1349.1
2026-08-22 22:45:00+00:00,52.53,52.59,52.45,52.58,1308.8
2026-08-22 22:50:00+00:00,52.58,52.65,52.54,52.63,699.1
2026-08-22 22:55:00+00:00,52.63,52.64,52.53,52.57,373.2
2026-08-22 23:00:00+00:00,52.57,52.66,52.44,52.66,1747.4
2026-08-22 23:05:00+00:00,52.66,52.68,52.62,52.63,750.2
2026-08-22 23:10:00+00:00,52.63,52.65,52.49,52.57,700.6
2026-08-22 23:15:00+00:00,52.57,52.62,52.51,52.62,1033.4
2026-08-22 23:20:00+00:00,52.62,52.68,52.4,52.41,1933.3
2026-08-22 23:25:00+00:00,52.41,52.56,52.41,52.44,1285.2
2026-08-22 23:30:00+00:00,52.44,52.48,52.07,52.11,3092.2
2026-08-22 23:35:00+00:00,52.11,52.36,52.11,52.36,1835.1
2026-08-22 23:40:00+00:00,52.36,52.42,52.34,52.39,497.0
2026-08-22 23:45:00+00:00,52.39,52.44,52.38,52.44,647.8
2026-08-22 23:50:00+00:00,52.44,52.55,52.44,52.54,1492.8
2026-08-22 23:55:00+00:00,52.54,52.55,52.45,52.45,417.7
2026-08-23 00:00:00+00:00,52.45,52.56,52.36,52.45,3492.7
2026-08-23 00:05:00+00:00,52.45,52.51,52.33,52.33,3570.7
2026-08-23 00:10:00+00:00,52.33,52.38,52.25,52.37,2119.9
2026-08-23 00:15:00+00:00,52.37,52.46,52.33,52.43,680.3
2026-08-23 00:20:00+00:00,52.43,52.46,52.37,52.42,2460.4
2026-08-23 00:25:00+00:00,52.42,52.58,52.42,52.5,1723.6
2026-08-23 00:30:00+00:00,52.5,52.65,52.5,52.58,1367.4
2026-08-23 00:35:00+00:00,52.58,52.93,52.56,52.71,6466.1
2026-08-23 00:40:00+00:00,52.71,52.76,52.63,52.63,1459.0
2026-08-23 00:45:00+00:00,52.63,52.77,52.6,52.77,1327.7
2026-08-23 00:50:00+00:00,52.77,52.79,52.68,52.77,527.8
2026-08-23 00:55:00+00:00,52.77,52.84,52.73,52.76,568.6
2026-08-23 01:00:00+00:00,52.76,52.76,52.55,52.55,1747.4
2026-08-23 01:05:00+00:00,52.55,52.63,52.42,52.54,1704.2
2026-08-23 01:10:00+00:00,52.54,52.65,52.53,52.65,1288.1
2026-08-23 01:15:00+00:00,52.65,52.65,52.37,52.42,617.7
2026-08-23 01:20:00+00:00,52.42,52.48,52.37,52.38,1103.7
2026-08-23 01:25:00+00:00,52.38,52.42,52.33,52.39,379.5
2026-08-23 01:30:00+00:00,52.39,52.5,52.3,52.37,1658.6
2026-08-23 01:35:00+00:00,52.37,52.37,52.3,52.32,339.4
2026-08-23 01:40:00+00:00,52.32,52.41,52.23,52.4,738.1
2026-08-23 01:45:00+00:00,52.4,52.47,52.26,52.26,324.5
2026-08-23 01:50:00+00:00,52.26,52.28,52.19,52.22,349.7
2026-08-23 01:55:00+00:00,52.22,52.22,52.01,52.04,1330.2
2026-08-23 02:00:00+00:00,52.04,52.04,51.88,51.89,938.8
2026-08-23 02:05:00+00:00,51.89,51.92,51.75,51.87,2829.7
2026-08-23 02:10:00+00:00,51.87,51.87,51.56,51.58,3233.4
2026-08-23 02:15:00+00:00,51.58,51.78,51.57,51.69,1274.0
2026-08-23 02:20:00+00:00,51.69,51.7,51.49,51.55,1982.7
2026-08-23 02:25:00+00:00,51.55,51.6,51.36,51.55,2079.2
2026-08-23 02:30:00+00:00,51.55,51.71,51.52,51.7,685.2
2026-08-23 02:35:00+00:00,51.7,51.76,51.56,51.61,2320.2
2026-08-23 02:40:00+00:00,51.61,51.7,51.6,51.64,743.4
