start,open,high,low,close,volume
2026-08-22 21:20:00+00:00,0.4846,0.4852,0.4839,0.4839,10716.2
2026-08-22 21:25:00+00:00,0.4839,0.4847,0.4835,0.4841,18017.5
2026-08-22 21:30:00+00:00,0.4841,0.4841,0.4827,0.4829,21367.9
2026-08-22 21:35:00+00:00,0.4829,0.4829,0.4812,0.4818,149704.0
2026-08-22 21:40:00+00:00,0.4818,0.482,0.4809,0.4814,32590.9
2026-08-22 21:45:00+00:00,0.4814,0.4814,0.4753,0.4791,781746.5
2026-08-22 21:50:00+00:00,0.4791,0.4793,0.4784,0.4788,58350.1
2026-08-22 21:55:00+00:00,0.4788,0.4802,0.4786,0.4798,74726.9
2026-08-22 22:00:00+00:00,0.4798,0.4806,0.4785,0.4796,61548.6
2026-08-22 22:05:00+00:00,0.4796,0.4809,0.4796,0.4805,24961.3
2026-08-22 22:10:00+00:00,0.4805,0.4809,0.4803,0.4808,3479.9
2026-08-22 22:15:00+00:00,0.4808,0.4816,0.4801,0.4807,48113.9
2026-08-22 22:20:00+00:00,0.4807,0.4811,0.4803,0.4807,13548.1
2026-08-22 22:25:00+00:00,0.4807,0.4814,0.4807,0.4811,16787.1
2026-08-22 22:30:00+00:00,0.4811,0.4814,0.4805,0.481,24908.7
2026-08-22 22:35:00+00:00,0.481,0.4812,0.4809,0.4809,5933.9
2026-08-22 22:40:00+00:00,0.4809,0.4812,0.4807,0.4809,5044.2
2026-08-22 22:45:00+00:00,0.4809,0.4812,0.4808,0.481,6476.5
2026-08-22 22:50:00+00:00,0.481,0.4826,0.4809,0.4824,119853.2
2026-08-22 22:55:00+00:00,0.4824,0.4825,0.4818,0.482,17601.0
2026-08-22 23:00:00+00:00,0.482,0.4826,0.4815,0.4825,14552.3
2026-08-22 23:05:00+00:00,0.4825,0.4828,0.4823,0.4826,7250.6
2026-08-22 23:10:00+00:00,0.4826,0.4826,0.4817,0.482,19049.7
2026-08-22 23:15:00+00:00,0.482,0.4825,0.4819,0.4822,7523.9
2026-08-22 23:20:00+00:00,0.4822,0.4826,0.4821,0.4822,15976.2
2026-08-22 23:25:00+00:00,0.4822,0.4831,0.4816,0.4816,123680.0
2026-08-22 23:30:00+00:00,0.4816,0.482,0.4806,0.4809,39157.9
2026-08-22 23:35:00+00:00,0.4809,0.4818,0.4808,0.4818,10118.9
2026-08-22 23:40:00+00:00,0.4818,0.4823,0.4816,0.482,9509.1
2026-08-22 23:45:00+00:00,0.482,0.4824,0.4818,0.4823,7762.9
2026-08-22 23:50:00+00:00,0.4823,0.4827,0.4823,0.4827,3562.0
2026-08-22 23:55:00+00:00,0.4827,0.4827,0.4821,0.4821,4420.6
2026-08-23 00:00:00+00:00,0.4821,0.4827,0.4821,0.4826,24239.0
2026-08-23 00:05:00+00:00,0.4826,0.4826,0.482,0.482,22982.5
2026-08-23 00:10:00+00:00,0.482,0.4821,0.4802,0.4821,187272.0
2026-08-23 00:15:00+00:00,0.4821,0.4832,0.482,0.4827,32085.1
2026-08-23 00:20:00+00:00,0.4827,0.4834,0.4827,0.483,29042.4
2026-08-23 00:25:00+00:00,0.483,0.4833,0.4826,0.4829,41917.2
2026-08-23 00:30:00+00:00,0.4829,0.4835,0.4829,0.4832,12262.2
2026-08-23 00:35:00+00:00,0.4832,0.4855,0.4832,0.484,138105.9
2026-08-23 00:40:00+00:00,0.484,0.4842,0.4835,0.4835,13855.7
2026-08-23 00:45:00+00:00,0.4835,0.4838,0.4832,0.4835,14951.9
2026-08-23 00:50:00+00:00,0.4835,0.4846,0.4834,0.4843,31232.4
