start,open,high,low,close,volume
2026-08-15 06:00:00+00:00,1.639,1.644,1.634,1.64,344392.4
2026-08-15 07:00:00+00:00,1.64,1.64,1.631,1.634,316937.8
2026-08-15 08:00:00+00:00,1.634,1.64,1.627,1.629,670922.1
2026-08-15 09:00:00+00:00,1.629,1.636,1.629,1.635,280554.6
2026-08-15 10:00:00+00:00,1.635,1.644,1.632,1.642,428912.6
2026-08-15 11:00:00+00:00,1.642,1.643,1.634,1.635,374518.9
2026-08-15 12:00:00+00:00,1.635,1.637,1.633,1.636,137695.6
2026-08-15 13:00:00+00:00,1.636,1.638,1.631,1.633,120973.6
2026-08-15 14:00:00+00:00,1.633,1.638,1.629,1.637,256953.4
2026-08-15 15:00:00+00:00,1.637,1.64,1.632,1.634,424553.8
2026-08-15 16:00:00+00:00,1.634,1.647,1.634,1.641,887328.2
2026-08-15 17:00:00+00:00,1.641,1.644,1.633,1.635,322316.3
2026-08-15 18:00:00+00:00,1.635,1.637,1.631,1.632,151199.9
2026-08-15 19:00:00+00:00,1.632,1.639,1.632,1.639,113095.6
2026-08-15 20:00:00+00:00,1.639,1.64,1.633,1.634,293475.9
2026-08-15 21:00:00+00:00,1.634,1.64,1.633,1.634,125060.0
2026-08-15 22:00:00+00:00,1.634,1.637,1.634,1.634,75740.1
2026-08-15 23:00:00+00:00,1.634,1.635,1.614,1.617,1216053.3
2026-08-16 00:00:00+00:00,1.617,1.618,1.61,1.613,474171.5
2026-08-16 01:00:00+00:00,1.613,1.616,1.604,1.608,344601.3
2026-08-16 02:00:00+00:00,1.608,1.615,1.604,1.61,294043.5
2026-08-16 03:00:00+00:00,1.61,1.615,1.609,1.61,167225.3
2026-08-16 04:00:00+00:00,1.61,1.614,1.609,1.611,132940.7
2026-08-16 05:00:00+00:00,1.611,1.615,1.608,1.608,257157.0
2026-08-16 06:00:00+00:00,1.608,1.612,1.605,1.607,173309.1
2026-08-16 07:00:00+00:00,1.607,1.613,1.603,1.612,191488.5
2026-08-16 08:00:00+00:00,1.612,1.618,1.609,1.616,202682.9
2026-08-16 09:00:00+00:00,1.616,1.619,1.613,1.615,286616.2
2026-08-16 10:00:00+00:00,1.615,1.619,1.614,1.617,126023.8
2026-08-16 11:00:00+00:00,1.617,1.626,1.616,1.626,257618.4
2026-08-16 12:00:00+00:00,1.626,1.627,1.621,1.625,279732.6
2026-08-16 13:00:00+00:00,1.625,1.627,1.621,1.622,130918.0
2026-08-16 14:00:00+00:00,1.622,1.623,1.616,1.618,257026.4
2026-08-16 15:00:00+00:00,1.618,1.627,1.618,1.624,271433.9
2026-08-16 16:00:00+00:00,1.624,1.627,1.621,1.623,228052.5
2026-08-16 17:00:00+00:00,1.623,1.624,1.607,1.609,685744.2
2026-08-16 18:00:00+00:00,1.609,1.611,1.604,1.606,526463.8
2026-08-16 19:00:00+00:00,1.606,1.612,1.605,1.609,129117.1
2026-08-16 20:00:00+00:00,1.609,1.612,1.599,1.603,501261.6
2026-08-16 21:00:00+00:00,1.603,1.605,1.583,1.586,1252588.4
2026-08-16 22:00:00+00:00,1.586,1.596,1.582,1.594,547032.0
2026-08-16 23:00:00+00:00,1.594,1.602,1.593,1.601,258184.2
2026-08-17 00:00:00+00:00,1.601,1.607,1.598,1.604,252507.7
2026-08-17 01:00:00+00:00,1.604,1.618,1.603,1.609,483100.0
2026-08-17 02:00:00+00:00,1.609,1.62,1.605,1.615,386421.5
2026-08-17 03:00:00+00:00,1.615,1.623,1.612,1.622,297484.9
2026-08-17 04:00:00+00:00,1.622,1.637,1.62,1.636,436384.5
2026-08-17 05:00:00+00:00,1.636,1.645,1.634,1.635,731795.3
2026-08-17 06:00:00+00:00,1.635,1.654,1.63,1.644,698193.2
2026-08-17 07:00:00+00:00,1.644,1.648,1.634,1.643,649396.2
2026-08-17 08:00:00+00:00,1.643,1.646,1.625,1.63,895142.8
2026-08-17 09:00:00+00:00,1.63,1.637,1.627,1.635,377355.7
2026-08-17 10:00:00+00:00,1.635,1.645,1.628,1.644,660880.2
2026-08-17 11:00:00+00:00,1.644,1.649,1.635,1.641,517824.5
2026-08-17 12:00:00+00:00,1.641,1.648,1.637,1.643,501639.4
2026-08-17 13:00:00+00:00,1.643,1.65,1.639,1.649,405253.7
2026-08-17 14:00:00+00:00,1.649,1.65,1.623,1.64,1607405.0
2026-08-17 15:00:00+00:00,1.64,1.642,1.628,1.641,804694.2
2026-08-17 16:00:00+00:00,1.641,1.641,1.628,1.631,526227.6
2026-08-17 17:00:00+00:00,1.631,1.632,1.607,1.609,2356860.2
2026-08-17 18:00:00+00:00,1.609,1.619,1.604,1.615,1040419.9
2026-08-17 19:00:00+00:00,1.615,1.622,1.61,1.617,817573.9
2026-08-17 20:00:00+00:00,1.617,1.627,1.611,1.624,482034.7
2026-08-17 21:00:00+00:00,1.624,1.64,1.623,1.639,674764.9
2026-08-17 22:00:00+00:00,1.639,1.641,1.629,1.631,569730.1
2026-08-17 23:00:00+00:00,1.631,1.64,1.629,1.635,250983.7
2026-08-18 00:00:00+00:00,1.635,1.647,1.635,1.643,765131.7
2026-08-18 01:00:00+00:00,1.643,1.648,1.629,1.633,418936.4
2026-08-18 02:00:00+00:00,1.633,1.639,1.62,1.625,998227.7
2026-08-18 03:00:00+00:00,1.625,1.635,1.62,1.635,449541.1
2026-08-18 04:00:00+00:00,1.635,1.647,1.632,1.646,497846.5
2026-08-18 05:00:00+00:00,1.646,1.649,1.64,1.648,601625.8
2026-08-18 06:00:00+00:00,1.648,1.666,1.638,1.65,1303653.7
2026-08-18 07:00:00+00:00,1.65,1.655,1.626,1.63,978809.7
2026-08-18 08:00:00+00:00,1.63,1.63,1.608,1.615,1495374.0
2026-08-18 09:00:00+00:00,1.615,1.622,1.609,1.61,560018.9
2026-08-18 10:00:00+00:00,1.61,1.618,1.61,1.616,434967.9
2026-08-18 11:00:00+00:00,1.616,1.626,1.614,1.624,490025.9
2026-08-18 12:00:00+00:00,1.624,1.628,1.615,1.616,559115.7
2026-08-18 13:00:00+00:00,1.616,1.617,1.606,1.615,1189373.8
2026-08-18 14:00:00+00:00,1.615,1.642,1.612,1.627,1284966.7
2026-08-18 15:00:00+00:00,1.627,1.647,1.625,1.634,802773.5
2026-08-18 16:00:00+00:00,1.634,1.635,1.61,1.613,1223934.0
2026-08-18 17:00:00+00:00,1.613,1.614,1.593,1.609,2134380.5
2026-08-18 18:00:00+00:00,1.609,1.616,1.608,1.614,719923.1
2026-08-18 19:00:00+00:00,1.614,1.616,1.607,1.607,338726.4
2026-08-18 20:00:00+00:00,1.607,1.608,1.593,1.596,967545.5
2026-08-18 21:00:00+00:00,1.596,1.601,1.583,1.592,1433705.7
2026-08-18 22:00:00+00:00,1.592,1.596,1.586,1.588,498264.3
2026-08-18 23:00:00+00:00,1.588,1.593,1.586,1.587,455725.5
2026-08-19 00:00:00+00:00,1.587,1.588,1.562,1.575,2491557.2
2026-08-19 01:00:00+00:00,1.575,1.589,1.571,1.584,836710.3
2026-08-19 02:00:00+00:00,1.584,1.593,1.58,1.588,1215351.8
2026-08-19 03:00:00+00:00,1.588,1.6,1.587,1.599,450405.3
2026-08-19 04:00:00+00:00,1.599,1.6,1.586,1.589,292521.7
2026-08-19 05:00:00+00:00,1.589,1.603,1.586,1.601,1235012.0
2026-08-19 06:00:00+00:00,1.601,1.627,1.598,1.619,2588281.5
2026-08-19 07:00:00+00:00,1.619,1.622,1.611,1.612,1238985.8
2026-08-19 08:00:00+00:00,1.612,1.619,1.605,1.61,704602.3
2026-08-19 09:00:00+00:00,1.61,1.61,1.6,1.603,428637.5
2026-08-19 10:00:00+00:00,1.603,1.612,1.598,1.612,303376.9
2026-08-19 11:00:00+00:00,1.612,1.627,1.611,1.617,1045154.3
2026-08-19 12:00:00+00:00,1.617,1.629,1.614,1.623,1600621.2
