start,open,high,low,close,volume
2026-08-23 10:38:00+00:00,1.939,1.944,1.938,1.942,37963.2
2026-08-23 10:39:00+00:00,1.942,1.943,1.94,1.941,87271.8
2026-08-23 10:40:00+00:00,1.941,1.945,1.937,1.945,20882.4
2026-08-23 10:41:00+00:00,1.945,1.948,1.943,1.943,42529.9
2026-08-23 10:42:00+00:00,1.943,1.947,1.942,1.945,96246.6
2026-08-23 10:43:00+00:00,1.945,1.961,1.944,1.959,171094.1
2026-08-23 10:44:00+00:00,1.959,1.961,1.954,1.955,66981.0
2026-08-23 10:45:00+00:00,1.955,1.955,1.949,1.95,68144.8
2026-08-23 10:46:00+00:00,1.95,1.952,1.949,1.949,20461.3
2026-08-23 10:47:00+00:00,1.949,1.95,1.946,1.948,69766.6
2026-08-23 10:48:00+00:00,1.948,1.952,1.947,1.951,9295.8
2026-08-23 10:49:00+00:00,1.951,1.953,1.95,1.952,8545.4
2026-08-23 10:50:00+00:00,1.952,1.953,1.95,1.951,31637.6
2026-08-23 10:51:00+00:00,1.951,1.954,1.949,1.952,21555.5
2026-08-23 10:52:00+00:00,1.952,1.952,1.945,1.945,23378.8
2026-08-23 10:53:00+00:00,1.945,1.947,1.944,1.944,37743.2
2026-08-23 10:54:00+00:00,1.944,1.953,1.944,1.951,39276.5
2026-08-23 10:55:00+00:00,1.951,1.954,1.945,1.946,215548.7
2026-08-23 10:56:00+00:00,1.946,1.952,1.945,1.948,94027.8
2026-08-23 10:57:00+00:00,1.948,1.949,1.945,1.946,22000.0
2026-08-23 10:58:00+00:00,1.946,1.949,1.944,1.948,66011.2
2026-08-23 10:59:00+00:00,1.948,1.948,1.946,1.947,24590.4
2026-08-23 11:00:00+00:00,1.947,1.952,1.94,1.94,301642.4
2026-08-23 11:01:00+00:00,1.94,1.946,1.94,1.944,28029.4
2026-08-23 11:02:00+00:00,1.944,1.951,1.941,1.951,47010.7
2026-08-23 11:03:00+00:00,1.951,1.951,1.948,1.948,12065.2
2026-08-23 11:04:00+00:00,1.948,1.953,1.946,1.953,10181.3
2026-08-23 11:05:00+00:00,1.953,1.955,1.95,1.955,51796.7
2026-08-23 11:06:00+00:00,1.955,1.957,1.952,1.956,58615.4
2026-08-23 11:07:00+00:00,1.956,1.958,1.952,1.957,50182.2
2026-08-23 11:08:00+00:00,1.957,1.962,1.954,1.954,83093.5
2026-08-23 11:09:00+00:00,1.954,1.955,1.953,1.954,31703.5
2026-08-23 11:10:00+00:00,1.954,1.954,1.948,1.95,52892.4
2026-08-23 11:11:00+00:00,1.95,1.954,1.947,1.954,18175.6
2026-08-23 11:12:00+00:00,1.954,1.954,1.951,1.952,12914.8
2026-08-23 11:13:00+00:00,1.952,1.953,1.946,1.947,18622.2
2026-08-23 11:14:00+00:00,1.947,1.947,1.943,1.944,16747.3
2026-08-23 11:15:00+00:00,1.944,1.949,1.941,1.945,118775.3
2026-08-23 11:16:00+00:00,1.945,1.956,1.943,1.954,135012.8
2026-08-23 11:17:00+00:00,1.954,1.954,1.949,1.952,53838.0
2026-08-23 11:18:00+00:00,1.952,1.953,1.95,1.951,24596.4
2026-08-23 11:19:00+00:00,1.951,1.952,1.948,1.951,42928.1
2026-08-23 11:20:00+00:00,1.951,1.958,1.951,1.956,60374.0
2026-08-23 11:21:00+00:00,1.956,1.96,1.955,1.959,35912.3
2026-08-23 11:22:00+00:00,1.959,1.96,1.954,1.957,44037.3
2026-08-23 11:23:00+00:00,1.957,1.959,1.955,1.957,23848.0
2026-08-23 11:24:00+00:00,1.957,1.962,1.957,1.96,44964.6
2026-08-23 11:25:00+00:00,1.96,1.96,1.954,1.954,24231.4
2026-08-23 11:26:00+00:00,1.954,1.959,1.954,1.955,33645.7
2026-08-23 11:27:00+00:00,1.955,1.956,1.952,1.956,15966.6
2026-08-23 11:28:00+00:00,1.956,1.958,1.954,1.956,21790.7
2026-08-23 11:29:00+00:00,1.956,1.956,1.952,1.954,14270.3
2026-08-23 11:30:00+00:00,1.954,1.96,1.95,1.96,215370.5
2026-08-23 11:31:00+00:00,1.96,1.964,1.959,1.964,30109.6
2026-08-23 11:32:00+00:00,1.964,1.964,1.961,1.961,30782.9
2026-08-23 11:33:00+00:00,1.961,1.962,1.958,1.96,21340.2
2026-08-23 11:34:00+00:00,1.96,1.963,1.959,1.96,22771.6
2026-08-23 11:35:00+00:00,1.96,1.962,1.958,1.962,22435.7
2026-08-23 11:36:00+00:00,1.962,1.967,1.961,1.961,25662.3
2026-08-23 11:37:00+00:00,1.961,1.965,1.959,1.96,18850.8
2026-08-23 11:38:00+00:00,1.96,1.96,1.956,1.958,14724.9
2026-08-23 11:39:00+00:00,1.958,1.96,1.957,1.959,22819.3
2026-08-23 11:40:00+00:00,1.959,1.96,1.956,1.957,11465.3
2026-08-23 11:41:00+00:00,1.957,1.958,1.955,1.955,15157.6
2026-08-23 11:42:00+00:00,1.955,1.957,1.955,1.956,5455.2
2026-08-23 11:43:00+00:00,1.956,1.957,1.955,1.955,5493.1
2026-08-23 11:44:00+00:00,1.955,1.958,1.955,1.957,10595.0
2026-08-23 11:45:00+00:00,1.957,1.959,1.956,1.957,7445.8
2026-08-23 11:46:00+00:00,1.957,1.957,1.953,1.954,26674.8
2026-08-23 11:47:00+00:00,1.954,1.954,1.951,1.952,38046.3
2026-08-23 11:48:00+00:00,1.952,1.952,1.95,1.952,8303.2
2026-08-23 11:49:00+00:00,1.952,1.952,1.947,1.948,27614.3
2026-08-23 11:50:00+00:00,1.948,1.949,1.945,1.946,12161.2
2026-08-23 11:51:00+00:00,1.946,1.95,1.946,1.949,28681.1
2026-08-23 11:52:00+00:00,1.949,1.962,1.949,1.961,79679.2
2026-08-23 11:53:00+00:00,1.961,1.966,1.959,1.963,108660.8
2026-08-23 11:54:00+00:00,1.963,1.963,1.96,1.963,30994.9
2026-08-23 11:55:00+00:00,1.963,1.965,1.962,1.963,14921.1
2026-08-23 11:56:00+00:00,1.963,1.967,1.963,1.967,25558.3
2026-08-23 11:57:00+00:00,1.967,1.968,1.963,1.964,37422.8
2026-08-23 11:58:00+00:00,1.964,1.964,1.961,1.961,34239.1
2026-08-23 11:59:00+00:00,1.961,1.961,1.96,1.96,9260.1
2026-08-23 12:00:00+00:00,1.96,1.96,1.957,1.96,11880.7
2026-08-23 12:01:00+00:00,1.96,1.962,1.956,1.956,24550.9
2026-08-23 12:02:00+00:00,1.956,1.957,1.953,1.954,126123.2
2026-08-23 12:03:00+00:00,1.954,1.954,1.95,1.951,81781.9
2026-08-23 12:04:00+00:00,1.951,1.956,1.95,1.955,81072.6
2026-08-23 12:05:00+00:00,1.955,1.956,1.954,1.954,11509.1
2026-08-23 12:06:00+00:00,1.954,1.954,1.944,1.948,10079.8
2026-08-23 12:07:00+00:00,1.948,1.949,1.942,1.944,39513.1
2026-08-23 12:08:00+00:00,1.944,1.946,1.941,1.945,97538.0
2026-08-23 12:09:00+00:00,1.945,1.949,1.945,1.949,26573.8
2026-08-23 12:10:00+00:00,1.949,1.951,1.947,1.95,10826.5
2026-08-23 12:11:00+00:00,1.95,1.952,1.948,1.949,4717.2
2026-08-23 12:12:00+00:00,1.949,1.949,1.945,1.946,6633.8
2026-08-23 12:13:00+00:00,1.946,1.948,1.946,1.947,4419.8
2026-08-23 12:14:00+00:00,1.947,1.949,1.946,1.946,10463.5
2026-08-23 12:15:00+00:00,1.946,1.948,1.944,1.945,13619.0
2026-08-23 12:16:00+00:00,1.945,1.95,1.945,1.946,68305.4
2026-08-23 12:17:00+00:00,1.946,1.947,1.944,1.945,7304.6
2026-08-23 12:18:00+00:00,1.945,1.947,1.942,1.947,41648.8
2026-08-23 12:19:00+00:00,1.947,1.947,1.944,1.944,6138.2
2026-08-23 12:20:00+00:00,1.944,1.944,1.942,1.942,11240.9
2026-08-23 12:21:00+00:00,1.942,1.946,1.942,1.946,23230.7
2026-08-23 12:22:00+00:00,1.946,1.948,1.945,1.946,9971.1
2026-08-23 12:23:00+00:00,1.946,1.95,1.946,1.949,7847.7
2026-08-23 12:24:00+00:00,1.949,1.951,1.948,1.95,11167.3
2026-08-23 12:25:00+00:00,1.95,1.95,1.946,1.947,14851.0
2026-08-23 12:26:00+00:00,1.947,1.947,1.943,1.944,19463.0
2026-08-23 12:27:00+00:00,1.944,1.945,1.942,1.943,6334.2
2026-08-23 12:28:00+00:00,1.943,1.946,1.943,1.945,11867.4
2026-08-23 12:29:00+00:00,1.945,1.945,1.942,1.942,4103.1
2026-08-23 12:30:00+00:00,1.942,1.943,1.94,1.941,119364.1
2026-08-23 12:31:00+00:00,1.941,1.945,1.94,1.944,16139.9
2026-08-23 12:32:00+00:00,1.944,1.947,1.943,1.947,9248.9
2026-08-23 12:33:00+00:00,1.947,1.947,1.943,1.944,7967.9
2026-08-23 12:34:00+00:00,1.944,1.946,1.944,1.945,1030.3
2026-08-23 12:35:00+00:00,1.945,1.948,1.945,1.945,16714.2
2026-08-23 12:36:00+00:00,1.945,1.945,1.943,1.944,14437.9
2026-08-23 12:37:00+00:00,1.944,1.948,1.944,1.946,9326.3
2026-08-23 12:38:00+00:00,1.946,1.946,1.942,1.943,6123.8
2026-08-23 12:39:00+00:00,1.943,1.948,1.943,1.947,14490.5
2026-08-23 12:40:00+00:00,1.947,1.95,1.947,1.949,6998.0
2026-08-23 12:41:00+00:00,1.949,1.951,1.949,1.95,2549.0
2026-08-23 12:42:00+00:00,1.95,1.951,1.945,1.948,58163.7
2026-08-23 12:43:00+00:00,1.948,1.951,1.948,1.95,5299.6
2026-08-23 12:44:00+00:00,1.95,1.951,1.949,1.951,2233.9
2026-08-23 12:45:00+00:00,1.951,1.951,1.947,1.947,5118.2
2026-08-23 12:46:00+00:00,1.947,1.949,1.945,1.948,8501.2
2026-08-23 12:47:00+00:00,1.948,1.949,1.946,1.946,3108.1
2026-08-23 12:48:00+00:00,1.946,1.948,1.941,1.942,52269.4
2026-08-23 12:49:00+00:00,1.942,1.944,1.941,1.944,4020.4
2026-08-23 12:50:00+00:00,1.944,1.945,1.943,1.943,1217.9
2026-08-23 12:51:00+00:00,1.943,1.945,1.942,1.945,4367.3
2026-08-23 12:52:00+00:00,1.945,1.945,1.943,1.943,797.5
2026-08-23 12:53:00+00:00,1.943,1.943,1.94,1.941,22947.0
2026-08-23 12:54:00+00:00,1.941,1.941,1.936,1.939,57474.7
2026-08-23 12:55:00+00:00,1.939,1.944,1.939,1.944,20922.5
2026-08-23 12:56:00+00:00,1.944,1.944,1.941,1.942,10616.5
2026-08-23 12:57:00+00:00,1.942,1.942,1.941,1.942,4599.6
2026-08-23 12:58:00+00:00,1.942,1.943,1.941,1.942,7682.3
2026-08-23 12:59:00+00:00,1.942,1.945,1.942,1.943,6696.1
2026-08-23 13:00:00+00:00,1.943,1.944,1.943,1.943,1211.7
2026-08-23 13:01:00+00:00,1.943,1.945,1.943,1.945,24152.9
2026-08-23 13:02:00+00:00,1.945,1.946,1.945,1.945,11598.2
2026-08-23 13:03:00+00:00,1.945,1.946,1.945,1.946,723.6
2026-08-23 13:04:00+00:00,1.946,1.947,1.942,1.942,23177.7
2026-08-23 13:05:00+00:00,1.942,1.943,1.941,1.943,32431.3
2026-08-23 13:06:00+00:00,1.943,1.945,1.942,1.945,7405.5
2026-08-23 13:07:00+00:00,1.945,1.945,1.943,1.943,3434.6
2026-08-23 13:08:00+00:00,1.943,1.943,1.942,1.943,1468.5
2026-08-23 13:09:00+00:00,1.943,1.945,1.942,1.943,6290.6
2026-08-23 13:10:00+00:00,1.943,1.947,1.943,1.945,81763.2
2026-08-23 13:11:00+00:00,1.945,1.945,1.941,1.941,51447.6
2026-08-23 13:12:00+00:00,1.941,1.942,1.941,1.942,354.8
2026-08-23 13:13:00+00:00,1.942,1.942,1.937,1.938,6003.5
2026-08-23 13:14:00+00:00,1.938,1.943,1.938,1.943,13751.5
2026-08-23 13:15:00+00:00,1.943,1.944,1.943,1.943,4725.8
2026-08-23 13:16:00+00:00,1.943,1.946,1.943,1.946,6611.9
2026-08-23 13:17:00+00:00,1.946,1.947,1.944,1.946,24064.3
2026-08-23 13:18:00+00:00,1.946,1.956,1.946,1.954,168748.6
2026-08-23 13:19:00+00:00,1.954,1.964,1.954,1.958,86300.1
2026-08-23 13:20:00+00:00,1.958,1.961,1.946,1.951,185625.9
2026-08-23 13:21:00+00:00,1.951,1.952,1.946,1.95,38429.5
2026-08-23 13:22:00+00:00,1.95,1.954,1.948,1.952,33460.9
2026-08-23 13:23:00+00:00,1.952,1.956,1.951,1.952,32514.2
2026-08-23 13:24:00+00:00,1.952,1.953,1.949,1.951,14036.3
2026-08-23 13:25:00+00:00,1.951,1.951,1.944,1.944,19922.0
2026-08-23 13:26:00+00:00,1.944,1.949,1.944,1.947,10971.8
2026-08-23 13:27:00+00:00,1.947,1.95,1.947,1.949,2011.5
2026-08-23 13:28:00+00:00,1.949,1.949,1.947,1.947,6724.1
2026-08-23 13:29:00+00:00,1.947,1.948,1.943,1.945,36098.2
2026-08-23 13:30:00+00:00,1.945,1.948,1.938,1.941,91045.5
2026-08-23 13:31:00+00:00,1.941,1.944,1.939,1.944,100010.0
2026-08-23 13:32:00+00:00,1.944,1.949,1.944,1.949,23925.7
2026-08-23 13:33:00+00:00,1.949,1.95,1.947,1.95,11374.9
2026-08-23 13:34:00+00:00,1.95,1.951,1.948,1.949,19326.2
2026-08-23 13:35:00+00:00,1.949,1.951,1.946,1.951,16854.3
2026-08-23 13:36:00+00:00,1.951,1.964,1.95,1.961,258687.7
2026-08-23 13:37:00+00:00,1.961,1.966,1.959,1.966,24686.0
2026-08-23 13:38:00+00:00,1.966,1.977,1.964,1.976,300201.6
2026-08-23 13:39:00+00:00,1.976,1.984,1.975,1.981,191425.9
2026-08-23 13:40:00+00:00,1.981,1.984,1.979,1.981,48286.6
2026-08-23 13:41:00+00:00,1.981,1.983,1.978,1.981,93566.2
2026-08-23 13:42:00+00:00,1.981,1.986,1.98,1.986,75575.8
2026-08-23 13:43:00+00:00,1.986,1.991,1.984,1.988,78571.2
2026-08-23 13:44:00+00:00,1.988,1.989,1.982,1.986,92363.9
2026-08-23 13:45:00+00:00,1.986,1.99,1.985,1.987,34060.3
2026-08-23 13:46:00+00:00,1.987,1.989,1.981,1.988,63647.5
2026-08-23 13:47:00+00:00,1.988,1.994,1.987,1.992,94320.2
2026-08-23 13:48:00+00:00,1.992,1.994,1.989,1.992,40913.7
