start,open,high,low,close,volume
2026-08-22 21:20:00+00:00,93.77,93.91,93.75,93.75,20498.9
2026-08-22 21:25:00+00:00,93.75,93.94,93.7,93.82,6051.3
2026-08-22 21:30:00+00:00,93.82,93.85,93.35,93.55,21582.7
2026-08-22 21:35:00+00:00,93.55,93.55,93.09,93.23,61099.1
2026-08-22 21:40:00+00:00,93.23,93.36,93.05,93.35,25491.0
2026-08-22 21:45:00+00:00,93.35,93.35,92.97,93.08,21656.4
2026-08-22 21:50:00+00:00,93.08,93.09,92.7,92.88,42793.0
2026-08-22 21:55:00+00:00,92.88,92.97,92.71,92.81,23433.8
2026-08-22 22:00:00+00:00,92.81,93.23,92.55,92.95,53834.1
2026-08-22 22:05:00+00:00,92.95,93.57,92.91,93.47,36505.8
2026-08-22 22:10:00+00:00,93.47,93.68,93.39,93.57,23730.1
2026-08-22 22:15:00+00:00,93.57,93.72,93.5,93.53,11126.7
2026-08-22 22:20:00+00:00,93.53,93.79,93.53,93.78,18622.6
2026-08-22 22:25:00+00:00,93.78,93.96,93.77,93.9,20971.3
2026-08-22 22:30:00+00:00,93.9,93.92,93.51,93.74,35226.2
2026-08-22 22:35:00+00:00,93.74,94.01,93.74,93.8,13964.5
2026-08-22 22:40:00+00:00,93.8,93.91,93.71,93.74,7038.0
2026-08-22 22:45:00+00:00,93.74,93.82,93.69,93.74,11194.7
2026-08-22 22:50:00+00:00,93.74,93.96,93.69,93.85,10385.0
2026-08-22 22:55:00+00:00,93.85,93.9,93.54,93.62,19019.6
2026-08-22 23:00:00+00:00,93.62,93.73,93.3,93.69,17632.8
2026-08-22 23:05:00+00:00,93.69,93.79,93.63,93.7,8747.6
2026-08-22 23:10:00+00:00,93.7,93.77,93.52,93.63,9373.0
2026-08-22 23:15:00+00:00,93.63,93.68,93.54,93.64,6492.4
2026-08-22 23:20:00+00:00,93.64,93.76,93.61,93.69,2792.3
2026-08-22 23:25:00+00:00,93.69,93.77,93.58,93.6,3917.1
2026-08-22 23:30:00+00:00,93.6,93.67,93.35,93.36,14360.3
2026-08-22 23:35:00+00:00,93.36,93.62,93.36,93.6,11427.3
2026-08-22 23:40:00+00:00,93.6,93.72,93.59,93.67,6001.9
2026-08-22 23:45:00+00:00,93.67,93.89,93.65,93.88,7824.9
2026-08-22 23:50:00+00:00,93.88,93.98,93.84,93.98,7280.2
2026-08-22 23:55:00+00:00,93.98,93.98,93.81,93.81,4180.6
2026-08-23 00:00:00+00:00,93.81,93.98,93.81,93.91,7146.6
2026-08-23 00:05:00+00:00,93.91,94.02,93.83,93.84,7806.1
2026-08-23 00:10:00+00:00,93.84,93.85,93.55,93.76,16032.0
2026-08-23 00:15:00+00:00,93.76,94.02,93.71,93.94,9253.0
2026-08-23 00:20:00+00:00,93.94,94.14,93.88,94.12,14508.3
2026-08-23 00:25:00+00:00,94.12,94.3,94.05,94.29,22699.5
2026-08-23 00:30:00+00:00,94.29,94.6,94.27,94.57,18626.2
2026-08-23 00:35:00+00:00,94.57,97.06,94.57,96.4,543166.2
2026-08-23 00:40:00+00:00,96.4,96.76,95.66,96.33,156409.1
2026-08-23 00:45:00+00:00,96.33,96.74,96.08,96.56,159855.7
2026-08-23 00:50:00+00:00,96.56,97.24,96.4,96.58,97912.0
2026-08-23 00:55:00+00:00,96.58,96.67,96.25,96.36,64081.9
2026-08-23 01:00:00+00:00,96.36,96.38,95.75,95.91,112214.3
2026-08-23 01:05:00+00:00,95.91,96.32,95.89,96.1,58592.5
2026-08-23 01:10:00+00:00,96.1,96.29,95.89,96.25,34567.9
2026-08-23 01:15:00+00:00,96.25,96.25,95.81,95.99,25089.4
2026-08-23 01:20:00+00:00,95.99,96.09,95.85,95.93,22688.0
2026-08-23 01:25:00+00:00,95.93,96.07,95.77,96.05,12546.7
2026-08-23 01:30:00+00:00,96.05,96.24,95.63,95.85,25542.1
2026-08-23 01:35:00+00:00,95.85,96.14,95.74,96.12,11445.6
2026-08-23 01:40:00+00:00,96.12,96.27,95.83,96.13,20079.0
2026-08-23 01:45:00+00:00,96.13,96.59,96.01,96.15,34484.4
2026-08-23 01:50:00+00:00,96.15,96.36,95.89,96.28,64058.9
2026-08-23 01:55:00+00:00,96.28,96.28,95.75,95.98,32866.8
2026-08-23 02:00:00+00:00,95.98,96.26,95.89,95.95,33719.5
2026-08-23 02:05:00+00:00,95.95,96.02,95.77,95.89,25721.4
2026-08-23 02:10:00+00:00,95.89,95.92,93.45,94.39,320924.9
2026-08-23 02:15:00+00:00,94.39,94.95,94.2,94.65,75538.8
2026-08-23 02:20:00+00:00,94.65,94.71,94.1,94.28,71300.0
2026-08-23 02:25:00+00:00,94.28,94.51,94.21,94.46,24163.5
2026-08-23 02:30:00+00:00,94.46,94.89,94.39,94.84,27676.2
2026-08-23 02:35:00+00:00,94.84,94.87,94.57,94.63,16594.4
2026-08-23 02:40:00+00:00,94.63,94.76,94.44,94.53,21522.9
2026-08-23 02:45:00+00:00,94.53,94.7,94.42,94.56,21344.7
2026-08-23 02:50:00+00:00,94.56,96.51,94.31,95.2,316267.9
2026-08-23 02:55:00+00:00,95.2,95.2,94.81,94.87,48220.9
2026-08-23 03:00:00+00:00,94.87,95.01,94.62,94.75,24511.0
2026-08-23 03:05:00+00:00,94.75,94.76,94.43,94.52,28974.5
2026-08-23 03:10:00+00:00,94.52,94.93,94.5,94.85,16507.1
2026-08-23 03:15:00+00:00,94.85,95.02,94.7,94.77,18347.0
