start,open,high,low,close,volume
2026-08-15 06:00:00+00:00,0.686,0.6867,0.6845,0.6847,1284600
2026-08-15 07:00:00+00:00,0.6847,0.6847,0.6818,0.6823,2512120
2026-08-15 08:00:00+00:00,0.6823,0.6829,0.6812,0.6813,418450
2026-08-15 09:00:00+00:00,0.6813,0.6837,0.6807,0.6835,543040
2026-08-15 10:00:00+00:00,0.6835,0.6844,0.6824,0.6829,405120
2026-08-15 11:00:00+00:00,0.6829,0.6831,0.6814,0.6814,357790
2026-08-15 12:00:00+00:00,0.6814,0.6833,0.6813,0.6833,390770
2026-08-15 13:00:00+00:00,0.6833,0.684,0.6825,0.6828,913070
2026-08-15 14:00:00+00:00,0.6828,0.6829,0.6816,0.6825,552860
2026-08-15 15:00:00+00:00,0.6825,0.6835,0.682,0.6835,214450
2026-08-15 16:00:00+00:00,0.6835,0.6837,0.6822,0.6827,274870
2026-08-15 17:00:00+00:00,0.6827,0.6833,0.681,0.6812,461660
2026-08-15 18:00:00+00:00,0.6812,0.6813,0.6779,0.6801,1275180
2026-08-15 19:00:00+00:00,0.6801,0.6815,0.6798,0.6814,441050
2026-08-15 20:00:00+00:00,0.6814,0.6815,0.6785,0.6795,569990
2026-08-15 21:00:00+00:00,0.6795,0.6812,0.6793,0.6806,386680
2026-08-15 22:00:00+00:00,0.6806,0.6812,0.6795,0.6795,457670
2026-08-15 23:00:00+00:00,0.6795,0.6795,0.6764,0.677,1299210
2026-08-16 00:00:00+00:00,0.677,0.678,0.6761,0.6777,756100
2026-08-16 01:00:00+00:00,0.6777,0.6777,0.6742,0.6755,936730
2026-08-16 02:00:00+00:00,0.6755,0.6772,0.6736,0.6758,953010
2026-08-16 03:00:00+00:00,0.6758,0.6774,0.6756,0.6759,237370
2026-08-16 04:00:00+00:00,0.6759,0.6763,0.675,0.6757,325860
2026-08-16 05:00:00+00:00,0.6757,0.6764,0.6741,0.6742,412620
2026-08-16 06:00:00+00:00,0.6742,0.6759,0.6724,0.6748,1485120
