start,open,high,low,close,volume
2026-08-15 06:00:00+00:00,491.2,492.19,490.95,491.73,1625.4
2026-08-15 07:00:00+00:00,491.73,491.9,488.78,489.66,3273.2
2026-08-15 08:00:00+00:00,489.66,490.18,487.82,488.23,3196.86
2026-08-15 09:00:00+00:00,488.23,489.41,487.61,489.41,1183.65
2026-08-15 10:00:00+00:00,489.41,490.42,487.34,488.8,1622.79
2026-08-15 11:00:00+00:00,488.8,492.36,487.7,491.08,5046.03
2026-08-15 12:00:00+00:00,491.08,491.92,489.0,490.03,1634.57
2026-08-15 13:00:00+00:00,490.03,491.5,488.53,489.37,1928.54
2026-08-15 14:00:00+00:00,489.37,489.37,487.37,489.08,3336.77
2026-08-15 15:00:00+00:00,489.08,491.0,488.32,489.46,1977.25
2026-08-15 16:00:00+00:00,489.46,492.14,489.06,491.15,1948.84
2026-08-15 17:00:00+00:00,491.15,491.33,487.8,488.34,2250.94
2026-08-15 18:00:00+00:00,488.34,489.5,485.6,488.57,5240.19
2026-08-15 19:00:00+00:00,488.57,490.13,488.3,489.96,1325.8
2026-08-15 20:00:00+00:00,489.96,490.04,487.9,488.93,1082.46
2026-08-15 21:00:00+00:00,488.93,490.32,488.7,489.61,1018.6
2026-08-15 22:00:00+00:00,489.61,489.96,488.26,488.34,816.43
2026-08-15 23:00:00+00:00,488.34,488.4,486.3,487.51,1920.38
2026-08-16 00:00:00+00:00,487.51,487.81,486.48,487.55,1503.59
2026-08-16 01:00:00+00:00,487.55,487.55,484.11,485.65,4734.79
2026-08-16 02:00:00+00:00,485.65,487.43,484.38,485.98,1344.49
2026-08-16 03:00:00+00:00,485.98,487.18,485.38,486.49,799.09
2026-08-16 04:00:00+00:00,486.49,487.44,485.73,486.91,741.06
2026-08-16 05:00:00+00:00,486.91,488.78,486.11,486.4,1801.05
2026-08-16 06:00:00+00:00,486.4,488.64,483.7,486.81,2588.78
2026-08-16 07:00:00+00:00,486.81,487.87,486.33,487.66,1206.17
2026-08-16 08:00:00+00:00,487.66,487.98,486.88,487.36,1465.23
2026-08-16 09:00:00+00:00,487.36,489.29,486.65,487.29,2322.06
2026-08-16 10:00:00+00:00,487.29,487.3,485.01,485.87,1757.51
2026-08-16 11:00:00+00:00,485.87,486.5,485.09,485.75,1193.49
2026-08-16 12:00:00+00:00,485.75,485.77,484.25,484.82,1443.24
2026-08-16 13:00:00+00:00,484.82,490.7,484.82,490.15,5292.49
2026-08-16 14:00:00+00:00,490.15,493.93,490.15,493.64,7061.33
2026-08-16 15:00:00+00:00,493.64,495.61,492.48,493.91,7172.81
2026-08-16 16:00:00+00:00,493.91,494.3,492.52,492.84,3713.13
2026-08-16 17:00:00+00:00,492.84,493.56,489.33,490.64,3689.71
2026-08-16 18:00:00+00:00,490.64,491.77,490.17,490.35,1864.07
2026-08-16 19:00:00+00:00,490.35,492.65,490.35,490.71,2658.95
2026-08-16 20:00:00+00:00,490.71,491.98,488.06,488.26,2618.41
2026-08-16 21:00:00+00:00,488.26,489.29,484.84,486.35,4924.51
2026-08-16 22:00:00+00:00,486.35,487.35,485.06,486.83,3600.2
2026-08-16 23:00:00+00:00,486.83,487.41,485.9,485.92,2099.3
2026-08-17 00:00:00+00:00,485.92,486.89,484.63,485.78,2740.62
2026-08-17 01:00:00+00:00,485.78,492.7,485.7,490.45,5242.12
2026-08-17 02:00:00+00:00,490.45,494.37,489.07,493.4,3440.1
2026-08-17 03:00:00+00:00,493.4,494.08,491.52,492.92,3468.81
2026-08-17 04:00:00+00:00,492.92,494.24,491.52,491.99,3334.06
2026-08-17 05:00:00+00:00,491.99,498.18,491.57,494.29,6903.18
2026-08-17 06:00:00+00:00,494.29,519.76,493.78,515.17,48087.98
2026-08-17 07:00:00+00:00,515.17,516.43,512.53,514.18,12005.75
2026-08-17 08:00:00+00:00,514.18,514.74,507.79,509.06,10889.73
2026-08-17 09:00:00+00:00,509.06,512.69,508.65,509.07,5972.11
2026-08-17 10:00:00+00:00,509.07,514.82,508.1,513.39,8665.65
2026-08-17 11:00:00+00:00,513.39,513.85,511.66,512.51,4306.14
2026-08-17 12:00:00+00:00,512.51,512.7,509.32,510.66,5448.54
2026-08-17 13:00:00+00:00,510.66,514.34,508.23,513.05,6440.25
2026-08-17 14:00:00+00:00,513.05,515.86,511.07,514.47,5628.69
2026-08-17 15:00:00+00:00,514.47,515.39,512.23,513.65,8416.95
2026-08-17 16:00:00+00:00,513.65,513.92,510.01,510.81,4091.27
2026-08-17 17:00:00+00:00,510.81,512.9,508.2,510.71,7392.88
