start,open,high,low,close,volume
2026-05-22 10:08:00+00:00,2123.21,2124.25,2123.2,2123.64,133.14
2026-05-22 10:09:00+00:00,2123.64,2123.86,2123.2,2123.33,188.78
2026-05-22 10:10:00+00:00,2123.33,2123.34,2122.79,2123.32,83.19
2026-05-22 10:11:00+00:00,2123.32,2123.66,2122.79,2123.49,53.02
2026-05-22 10:12:00+00:00,2123.49,2123.62,2122.7,2123.0,107.69
2026-05-22 10:13:00+00:00,2123.0,2123.33,2122.83,2122.92,57.39
2026-05-22 10:14:00+00:00,2122.92,2122.92,2122.49,2122.53,49.43
2026-05-22 10:15:00+00:00,2122.53,2122.53,2120.35,2120.56,746.17
2026-05-22 10:16:00+00:00,2120.56,2120.56,2119.92,2120.25,278.05
2026-05-22 10:17:00+00:00,2120.25,2121.18,2120.25,2121.04,633.31
2026-05-22 10:18:00+00:00,2121.04,2121.74,2121.04,2121.73,59.42
2026-05-22 10:19:00+00:00,2121.73,2121.73,2120.87,2121.11,78.5
2026-05-22 10:20:00+00:00,2121.11,2121.12,2120.44,2120.44,54.37
2026-05-22 10:21:00+00:00,2120.44,2121.23,2120.44,2121.19,96.25
2026-05-22 10:22:00+00:00,2121.19,2122.0,2120.95,2122.0,125.04
2026-05-22 10:23:00+00:00,2122.0,2122.31,2121.57,2122.31,163.26
2026-05-22 10:24:00+00:00,2122.31,2122.89,2122.31,2122.85,162.85
2026-05-22 10:25:00+00:00,2122.85,2123.0,2122.69,2123.0,76.67
2026-05-22 10:26:00+00:00,2123.0,2123.18,2122.64,2123.09,181.81
2026-05-22 10:27:00+00:00,2123.09,2123.41,2122.37,2123.4,82.04
2026-05-22 10:28:00+00:00,2123.4,2123.45,2122.7,2122.97,173.3
2026-05-22 10:29:00+00:00,2122.97,2123.64,2122.56,2123.22,355.56
2026-05-22 10:30:00+00:00,2123.22,2124.73,2123.22,2124.01,393.48
2026-05-22 10:31:00+00:00,2124.01,2124.05,2122.45,2122.74,183.12
2026-05-22 10:32:00+00:00,2122.74,2123.44,2122.74,2123.13,95.52
2026-05-22 10:33:00+00:00,2123.13,2123.77,2122.78,2123.7,198.55
2026-05-22 10:34:00+00:00,2123.7,2124.07,2123.0,2123.13,155.9
2026-05-22 10:35:00+00:00,2123.13,2123.48,2122.57,2122.96,189.98
2026-05-22 10:36:00+00:00,2122.96,2122.96,2121.66,2121.66,739.81
2026-05-22 10:37:00+00:00,2121.66,2121.9,2121.0,2121.85,640.68
2026-05-22 10:38:00+00:00,2121.85,2122.47,2121.85,2122.47,41.0
2026-05-22 10:39:00+00:00,2122.47,2123.32,2122.46,2123.32,116.52
2026-05-22 10:40:00+00:00,2123.32,2123.44,2122.74,2123.11,182.25
2026-05-22 10:41:00+00:00,2123.11,2123.23,2122.59,2123.07,94.9
2026-05-22 10:42:00+00:00,2123.07,2123.4,2122.92,2123.11,49.97
2026-05-22 10:43:00+00:00,2123.11,2123.3,2122.96,2123.07,79.12
2026-05-22 10:44:00+00:00,2123.07,2123.56,2123.0,2123.46,183.0
2026-05-22 10:45:00+00:00,2123.46,2123.48,2123.13,2123.2,114.22
2026-05-22 10:46:00+00:00,2123.2,2123.72,2123.13,2123.51,139.61
2026-05-22 10:47:00+00:00,2123.51,2123.51,2122.24,2123.06,959.06
2026-05-22 10:48:00+00:00,2123.06,2123.43,2122.76,2122.77,204.64
2026-05-22 10:49:00+00:00,2122.77,2123.25,2122.52,2123.25,592.14
2026-05-22 10:50:00+00:00,2123.25,2123.38,2122.75,2123.0,515.31
2026-05-22 10:51:00+00:00,2123.0,2123.19,2122.77,2122.78,159.66
2026-05-22 10:52:00+00:00,2122.78,2123.0,2122.61,2122.98,38.18
2026-05-22 10:53:00+00:00,2122.98,2123.23,2122.35,2122.57,390.19
2026-05-22 10:54:00+00:00,2122.57,2122.61,2122.35,2122.56,84.08
2026-05-22 10:55:00+00:00,2122.56,2122.56,2121.38,2121.39,288.82
2026-05-22 10:56:00+00:00,2121.39,2121.99,2121.24,2121.99,333.57
2026-05-22 10:57:00+00:00,2121.99,2122.12,2121.71,2122.07,132.97
2026-05-22 10:58:00+00:00,2122.07,2122.19,2121.91,2122.08,25.09
2026-05-22 10:59:00+00:00,2122.08,2122.37,2122.01,2122.15,89.32
2026-05-22 11:00:00+00:00,2122.15,2123.03,2122.15,2122.3,263.62
2026-05-22 11:01:00+00:00,2122.3,2123.0,2121.89,2122.81,152.12
